slice,run_id,setup_id,setup_type_original,entry_signal_ts,exit_reason,exit_reason_category,close_return_pct,mfe_pct,mae_pct,trade_return_pct,replay_minus_outcome,outcome_positive,replay_positive
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,239705c48e58dfd1a15c726f,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-04 13:22:00+00:00,TAKE_PROFIT,TARGET,0.00034729,0.00044864,0.00017737,0.00026834,-0.00007895,True,True
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,1d5e5fbdffb037281048586e,FAILED_BREAK_RECLAIM_SHORT,2026-04-04 13:39:00+00:00,TAKE_PROFIT,TARGET,0.00065155,0.00080031,-0.00024099,0.00012050,-0.00053105,True,True
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,d036c88353396b99d977d442,FAILED_BREAK_RECLAIM_SHORT,2026-04-04 15:11:00+00:00,STOP_LOSS,STOP,-0.00256226,0.00037623,-0.00459809,-0.00021419,0.00234807,False,False
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,f8dd590fcc50799f4309c6bd,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-04 15:11:00+00:00,STOP_LOSS,STOP,-0.00258239,0.00035617,-0.00461826,-0.00019411,0.00238828,False,False
ctx_spike_count_ge2,2026-04-04_to_2026-04-04_run_001,7fe86d5aa4b0331bb51b8b9c,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-04 22:46:00+00:00,TAKE_PROFIT,TARGET,0.00050294,0.00097473,0.00026556,0.00053651,0.00003357,True,True
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,766e1b63108f914f04c45c39,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 00:31:00+00:00,TAKE_PROFIT,TARGET,-0.00028387,0.00022346,-0.00035974,0.00003169,0.00031556,False,True
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,377c28c4d94d19ae988cf19b,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 01:30:00+00:00,TAKE_PROFIT,TARGET,0.00076376,0.00077121,-0.00000522,0.00001229,-0.00075147,True,True
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,ec7b1c2a6d7baf26c21dd9f7,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 03:04:00+00:00,TAKE_PROFIT,TARGET,0.00016157,0.00047427,-0.00005137,0.00011951,-0.00004206,True,True
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,502f408bdbb9e4b7786d7320,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 04:01:00+00:00,TAKE_PROFIT,TARGET,0.00099044,0.00099044,-0.00011237,0.00003487,-0.00095557,True,True
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,76f5368c2e42734b0924cb61,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 04:35:00+00:00,TAKE_PROFIT,TARGET,0.00064560,0.00064560,0.00013925,0.00021114,-0.00043447,True,True
