variant,run_id,trade_id,source_setup_id,entry_signal_ts,entry_activation_ts,exit_ts,exit_reason_category,holding_bars,trade_return_pct
baseline_current,2026-04-01_to_2026-04-01_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_75956c2ff46e043a2b9bd452,75956c2ff46e043a2b9bd452,2026-04-01 06:46:00+00:00,2026-04-01 06:47:00+00:00,2026-04-01 06:47:00+00:00,TARGET,0,0.00056764
baseline_current,2026-04-01_to_2026-04-01_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_61d8ef9186a7935a7ad8e1e4,61d8ef9186a7935a7ad8e1e4,2026-04-01 08:55:00+00:00,2026-04-01 08:56:00+00:00,2026-04-01 09:08:00+00:00,EXPIRY,12,0.00098090
baseline_current,2026-04-01_to_2026-04-01_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_b5246ffa6686ae2b7d09b25a,b5246ffa6686ae2b7d09b25a,2026-04-01 12:47:00+00:00,2026-04-01 12:48:00+00:00,2026-04-01 12:50:00+00:00,TARGET,2,0.00037832
baseline_current,2026-04-01_to_2026-04-01_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_0640c64552644dbf6447f6ff,0640c64552644dbf6447f6ff,2026-04-01 15:27:00+00:00,2026-04-01 15:28:00+00:00,2026-04-01 15:32:00+00:00,STOP,4,-0.00108881
baseline_current,2026-04-02_to_2026-04-02_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_779afc13aef4e0ba5e40d8a7,779afc13aef4e0ba5e40d8a7,2026-04-02 04:22:00+00:00,2026-04-02 04:23:00+00:00,2026-04-02 04:23:00+00:00,TARGET,0,0.00027943
baseline_current,2026-04-02_to_2026-04-02_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_8141a10b5aa5df183fa33f84,8141a10b5aa5df183fa33f84,2026-04-02 09:42:00+00:00,2026-04-02 09:43:00+00:00,2026-04-02 09:46:00+00:00,TARGET,3,0.00097806
baseline_current,2026-04-02_to_2026-04-02_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_9c6b9223803a95ea039e6862,9c6b9223803a95ea039e6862,2026-04-02 14:39:00+00:00,2026-04-02 14:40:00+00:00,2026-04-02 14:40:00+00:00,TARGET,0,0.00142740
baseline_current,2026-04-02_to_2026-04-02_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_050bc7fab061f2b8ee4186eb,050bc7fab061f2b8ee4186eb,2026-04-02 18:44:00+00:00,2026-04-02 18:45:00+00:00,2026-04-02 18:45:00+00:00,STOP,0,-0.00022948
baseline_current,2026-04-02_to_2026-04-02_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_11e935896c88ec20c11bcdd0,11e935896c88ec20c11bcdd0,2026-04-02 22:41:00+00:00,2026-04-02 22:42:00+00:00,2026-04-02 22:42:00+00:00,STOP,0,-0.00013894
baseline_current,2026-04-03_to_2026-04-03_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_8830bbb2ad9aed500e1adfa5,8830bbb2ad9aed500e1adfa5,2026-04-03 09:23:00+00:00,2026-04-03 09:24:00+00:00,2026-04-03 09:24:00+00:00,STOP,0,-0.00025206
baseline_current,2026-04-03_to_2026-04-03_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_439072b5ab1117cd730f3ef9,439072b5ab1117cd730f3ef9,2026-04-03 11:25:00+00:00,2026-04-03 11:26:00+00:00,2026-04-03 11:26:00+00:00,STOP,0,-0.00022956
baseline_current,2026-04-03_to_2026-04-03_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_d3c3b041d9a40362587004d2,d3c3b041d9a40362587004d2,2026-04-03 12:32:00+00:00,2026-04-03 12:33:00+00:00,2026-04-03 12:34:00+00:00,TARGET,1,0.00022455
baseline_current,2026-04-03_to_2026-04-03_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_dcf0abfc7c987bdb44720ccd,dcf0abfc7c987bdb44720ccd,2026-04-03 12:32:00+00:00,2026-04-03 12:33:00+00:00,2026-04-03 12:45:00+00:00,EXPIRY,12,0.00143426
baseline_current,2026-04-03_to_2026-04-03_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_65ede0c7462397702d6f6ba2,65ede0c7462397702d6f6ba2,2026-04-03 13:56:00+00:00,2026-04-03 13:57:00+00:00,2026-04-03 13:58:00+00:00,STOP,1,-0.00025069
baseline_current,2026-04-03_to_2026-04-03_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_3c4ca6b4d057e01016d4215b,3c4ca6b4d057e01016d4215b,2026-04-03 15:35:00+00:00,2026-04-03 15:36:00+00:00,2026-04-03 15:36:00+00:00,TARGET,0,0.00003589
baseline_current,2026-04-03_to_2026-04-03_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_0435c376709032cd1d5e3635,0435c376709032cd1d5e3635,2026-04-03 19:25:00+00:00,2026-04-03 19:26:00+00:00,2026-04-03 19:38:00+00:00,EXPIRY,12,-0.00014978
baseline_current,2026-04-04_to_2026-04-04_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_814e54e29985e551111347db,814e54e29985e551111347db,2026-04-04 01:26:00+00:00,2026-04-04 01:27:00+00:00,2026-04-04 01:27:00+00:00,STOP,0,-0.00011314
baseline_current,2026-04-04_to_2026-04-04_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_55f7d096a2eaf6a38f0f5b74,55f7d096a2eaf6a38f0f5b74,2026-04-04 04:17:00+00:00,2026-04-04 04:18:00+00:00,2026-04-04 04:18:00+00:00,STOP,0,-0.00048242
baseline_current,2026-04-04_to_2026-04-04_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_0d446ea1ebfdaafa6a32abcb,0d446ea1ebfdaafa6a32abcb,2026-04-04 08:22:00+00:00,2026-04-04 08:23:00+00:00,2026-04-04 08:25:00+00:00,STOP,2,-0.00028815
