variant,run_id,status,source_setups,selected_setups,output_dir,trade_count,resolved_trade_count,unresolved_trade_count,win_rate,mean_return,median_return,promotion_decision,validation_status,robustness_status,notes
entry_delay_1,2026-04-10_to_2026-04-10_run_001,COMPLETED,6,6,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-10_to_2026-04-10_run_001,6,6,0,0.6666666666666666,0.00008588,0.00022240,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-10_to_2026-04-10_run_001,COMPLETED,6,6,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-10_to_2026-04-10_run_001,6,6,0,0.5,0.00049903,0.00034727,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-10_to_2026-04-10_run_001,COMPLETED,6,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-10_to_2026-04-10_run_001,4,4,0,0.75,0.00069549,0.00038272,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-10_to_2026-04-10_run_001,COMPLETED,6,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-10_to_2026-04-10_run_001,2,2,0,0.5,-0.00005845,-0.00005845,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-11_to_2026-04-11_run_001,COMPLETED,5,5,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-11_to_2026-04-11_run_001,5,5,0,0.2,-0.00010378,-0.00022753,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-04-11_to_2026-04-11_run_001,COMPLETED,5,5,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-11_to_2026-04-11_run_001,5,5,0,0.4,-0.00002132,-0.00011478,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-11_to_2026-04-11_run_001,COMPLETED,5,5,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-11_to_2026-04-11_run_001,5,5,0,0.8,0.00018907,0.00013931,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-11_to_2026-04-11_run_001,COMPLETED,5,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-11_to_2026-04-11_run_001,4,4,0,0.25,-0.00005168,-0.00015396,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-11_to_2026-04-11_run_001,SKIPPED_NO_SETUPS,5,0,,,,,,,,,,,no selected setups after timing transform
baseline_current,2026-04-12_to_2026-04-12_run_001,COMPLETED,7,7,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-12_to_2026-04-12_run_001,7,7,0,0.42857142857142855,0.00049981,-0.00005531,REJECT,FAIL,FRAGILE,
