StopModel,SetupId,Direction,SourceTF,Exit1440,Exit2880,Exit4320,Exit5760,R1440,R2880,R4320,R5760,Hold1440,Hold5760,ChangedVs1440,Expiry1440ToTP,Expiry1440ToSL,UnchangedAcrossExpiries
REFERENCE_LEVEL_HARD_STOP,79bebe162069b3501817e290,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,7b888d3386fe39dad14954b7,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,7d7d5ff4a49433f6625e6d11,LONG,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,7d856434da09bf9891af1b48,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,6,6,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,7e7b562d498c04837fb13959,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,5,5,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,7e9aea218f3084b2c0574d9d,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,7eb2f64f0f4dd2e6b4008c7a,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,80d531f5a1b3bc16655ba77b,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,823ad349f4ddb036797ded4e,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,5,5,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,84b4a773e173b42be1f3ea1f,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,85bdb714d615b9c29891dc51,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,87d6f3887a24c84e0093740a,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,89522034e456a3a1c21cacdc,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,898f378842a15c489d666e43,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,11,11,False,False,False,True
